date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:09:00	4701/4701	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2031%20Dec%202017%2004:39:00%20GMT	http://look-this.co/robots.txt		(from )
10:09:00	21999/21999	---MCZ	200	added ('OK')	text/html	date:Sun,%2031%20Dec%202017%2004:39:00%20GMT	http://look-this.co/?	C:/My%20Web%20Sites/Wish/look-this.co/indexd41d.html	(from )
10:09:01	6912/6912	U-----	200	untouched ('OK')	text/css	date:Mon,%2025%20Dec%202017%2006:19:31%20GMT	http://look-this.co/style.css	C:/My%20Web%20Sites/Wish/look-this.co/style.css	(from http://look-this.co/?)
10:09:01	87955/87955	U-----	200	untouched ('')	image/png	date:Mon,%2025%20Dec%202017%2007:28:30%20GMT	http://look-this.co/bb.png	C:/My%20Web%20Sites/Wish/look-this.co/bb.png	(from http://look-this.co/?)
10:09:01	18823/18823	U-----	200	untouched ('')	image/png	date:Mon,%2025%20Dec%202017%2007:28:30%20GMT	http://look-this.co/5555.png	C:/My%20Web%20Sites/Wish/look-this.co/5555.png	(from http://look-this.co/?)
10:09:01	9360/9360	U-----	200	untouched ('')	image/png	date:Mon,%2025%20Dec%202017%2007:28:30%20GMT	http://look-this.co/123.png	C:/My%20Web%20Sites/Wish/look-this.co/123.png	(from http://look-this.co/?)
10:09:01	19454/19454	U-----	200	untouched ('')	image/png	date:Mon,%2025%20Dec%202017%2007:28:30%20GMT	http://look-this.co/124.png	C:/My%20Web%20Sites/Wish/look-this.co/124.png	(from http://look-this.co/?)
10:09:01	18073/18073	U-----	200	untouched ('')	image/png	date:Mon,%2025%20Dec%202017%2007:28:30%20GMT	http://look-this.co/5556.png	C:/My%20Web%20Sites/Wish/look-this.co/5556.png	(from http://look-this.co/?)
10:09:02	23685/23685	U-----	200	untouched ('')	image/gif	date:Mon,%2025%20Dec%202017%2007:28:30%20GMT	http://look-this.co/Snow_falling1.gif	C:/My%20Web%20Sites/Wish/look-this.co/Snow_falling1.gif	(from http://look-this.co/?)
10:09:02	40353/40353	U-----	200	untouched ('')	image/png	date:Fri,%2029%20Dec%202017%2013:27:16%20GMT	http://look-this.co/do.png	C:/My%20Web%20Sites/Wish/look-this.co/do.png	(from http://look-this.co/?)
10:09:03	40605/40605	U-----	200	untouched ('')	image/png	date:Fri,%2029%20Dec%202017%2013:27:27%20GMT	http://look-this.co/jiro.png	C:/My%20Web%20Sites/Wish/look-this.co/jiro.png	(from http://look-this.co/?)
10:09:04	40774/40774	U-----	200	untouched ('')	image/png	date:Fri,%2029%20Dec%202017%2013:27:40%20GMT	http://look-this.co/aat.png	C:/My%20Web%20Sites/Wish/look-this.co/aat.png	(from http://look-this.co/?)
10:09:04	38624/38624	U-----	200	untouched ('')	image/png	date:Fri,%2029%20Dec%202017%2013:27:08%20GMT	http://look-this.co/ek.png	C:/My%20Web%20Sites/Wish/look-this.co/ek.png	(from http://look-this.co/?)
10:09:04	67881/67881	U--MC-	200	updated ('OK')	text/javascript	date:Sun,%2031%20Dec%202017%2004:39:02%20GMT	http://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/My%20Web%20Sites/Wish/pagead2.googlesyndication.com/pagead/js/f.txt	(from http://look-this.co/?)
10:09:05	10569/10569	U-----	200	untouched ('')	text/javascript	etag:%221262556565%22	http://s10.histats.com/js15_as.js	C:/My%20Web%20Sites/Wish/s10.histats.com/js15_as.js	(from http://look-this.co/?)
10:09:05	43/43	U-----	200	untouched ('')	image/gif	date:Sun,%2031%20Dec%202017%2003:56:32%20GMT	http://sstatic1.histats.com/0.gif?3974708&101	C:/My%20Web%20Sites/Wish/sstatic1.histats.com/06fde.gif	(from http://look-this.co/?)
10:09:05	21999/21999	U--MCZ	200	updated ('OK')	text/html	date:Sun,%2031%20Dec%202017%2004:39:05%20GMT	http://look-this.co/	C:/My%20Web%20Sites/Wish/look-this.co/index.html	(from http://look-this.co/?)
